date,temp_avg,temp_min,temp_max,humidity_avg,precip_mm,heatwave_days,tropical_nights,sunshine_hours,solar_radiation,violent_cnt,heinous_cnt,property_cnt,unemp_rate,total_pop,working_pop,heat_index,covid_dummy,violent_rate_total,heinous_rate_total,property_rate_total,violent_rate_working,heinous_rate_working,property_rate_working,holiday_cnt
2015-09-01,20.2,15.2,26.1,74,56.0,0.0,0.0,221.3,460.04,23590,3144,50387,3.3,51482816,37653467,66.36792,0,45.821114369501466,6.106892055011133,97.8714917225973,62.65027334667482,8.349828715639918,133.81769067905486,4
2015-10-01,14.7,9.2,21.4,69,67.0,0.0,0.0,244.4,401.11,21414,2753,51962,3.2,51500986,37667501,57.905469999999994,0,41.57978645302053,5.345528724440344,100.89515567721364,56.85006817946325,7.308687666856371,137.94915675451898,2
2015-11-01,9.8,6.3,13.9,80,125.7,0.0,0.0,96.2,176.23,18893,2107,46854,3.2,51515399,37682415,50.0076,0,36.674470870350824,4.090039174500037,90.95144541149725,50.13744474710552,5.591467532003986,124.33916456787601,0
2015-12-01,3.2,-1.0,7.9,69,40.6,0.0,0.0,157.1,208.93,18050,1899,49560,3.3,51529338,37692724,40.73482,0,35.0285889564504,3.685279248105225,96.17821987156132,47.88722619251397,5.038107619921552,131.48426205545664,1
2016-01-01,-1.3,-5.6,3.5,61,24.6,0.0,0.0,182.4,251.47,18288,2088,48628,3.7,51541582,37701795,35.31802999999999,0,35.482030799908316,4.051098004713942,94.34712345461185,48.50697427005797,5.538197849731027,128.9805962819542,1
2016-02-01,1.4,-3.6,6.9,58,46.7,0.0,0.0,198.8,315.12,17786,1967,41378,4.6,51555409,37709360,39.543679999999995,0,34.49880496535291,3.8153125698217236,80.25927987497879,47.16600865143296,5.216211571874994,109.7287251759245,4
2016-03-01,6.9,1.2,13.1,59,57.0,0.0,0.0,221.6,443.82,20578,2507,49414,4.4,51569536,37720520,47.07519,0,39.90340343570282,4.861397240417288,95.8201369118388,54.55386086936235,6.646249839609847,131.00031494793814,1
2016-04-01,13.6,7.9,20.1,64,159.5,0.0,0.0,208.5,484.35,22710,3043,47384,4.1,51584349,37733981,56.33936,0,44.024981298106525,5.8990760937973645,91.857318970915,60.18447934237312,8.064349213511292,125.57381634341735,1
2016-05-01,18.4,12.1,25.0,63,98.7,0.0,0.0,269.5,624.33,22415,3236,50209,3.8,51601265,37743286,63.23638,0,43.43885755513939,6.271164088709841,97.30187816132027,59.38804586330931,8.573710301747441,133.0276330471067,3
2016-06-01,22.2,17.9,27.2,74,66.8,0.1,0.0,198.0,527.4,22676,3255,49927,3.8,51619330,37755641,69.45312,0,43.92927998096837,6.30577731249127,96.72151885737378,60.05989939357671,8.621228282152593,132.23719337727573,1
2016-07-01,25.2,21.8,29.7,82,309.7,5.1,3.8,183.1,475.3,22788,3438,51551,3.7,51634618,37763056,74.87755999999999,0,44.13318212211815,6.658323685090495,99.83805825773707,60.344692442264204,9.104136063564347,136.51172722885565,0
2016-08-01,26.5,22.2,31.9,75,78.2,16.6,6.2,252.5,539.37,22153,3320,49723,3.7,51649552,37768452,76.19874999999999,0,42.890981900481925,6.427935715686362,96.26995409369668,58.65477356604396,8.790405283224212,131.65220539089077,1
2016-09-01,21.4,17.8,26.0,81,206.2,0.0,0.0,140.4,344.57,22982,3160,47736,3.7,51664244,37776663,68.65276,0,44.483376162438375,6.11641583296951,92.39659057045333,60.83650109592793,8.364952722266654,126.363728844975,3
2016-10-01,15.5,11.6,20.5,77,144.1,0.0,0.0,143.1,293.05,21512,2721,47957,3.5,51677054,37781650,59.12835,0,41.62775997254023,5.265393031112029,92.80134273908106,56.937693298201644,7.201908863165055,126.9319894710792,2
2016-11-01,7.5,2.6,13.1,68,32.5,0.0,0.0,170.3,250.66,18781,2134,44456,3.2,51687682,37786682,47.230799999999995,0,36.33554315707173,4.128643261657584,86.00888699168208,49.70269683906091,5.6474924154494435,117.6499169733929,0
2016-12-01,2.7,-2.0,8.0,66,65.0,0.0,0.0,167.5,220.36,19220,2094,45082,3.3,51696216,37784417,40.35778,0,37.178736640995155,4.050586603862844,87.20560901401372,50.86753091889707,5.5419672083335305,119.31373719488644,1
2017-01-01,-0.3,-5.2,5.2,61,14.4,0.0,0.0,204.1,272.47,18770,2248,46550,3.6,51704332,37774507,36.73193,0,36.30256745218176,4.347798169019957,90.03114091097822,49.689596213658064,5.951103478332622,123.23125752508166,5
2017-02-01,1.4,-4.2,7.1,56,30.6,0.0,0.0,212.5,340.34,16982,2189,39564,4.5,51712221,37759293,39.81576,0,32.83943267491837,4.233041934130039,76.50802699037042,44.97435902732607,5.7972483753866895,104.77950421370443,0
2017-03-01,6.0,0.2,12.4,57,23.9,0.0,0.0,229.0,455.98,19954,2990,46069,4.2,51714935,37737535,46.00149999999999,0,38.58459843370199,5.781695365178357,89.08258320347885,52.8757376442314,7.923146013643975,122.07739588714526,1
2017-04-01,13.6,7.5,20.2,59,71.0,0.0,0.0,248.4,539.13,19987,3155,44661,4.4,51722903,37730417,56.415659999999995,0,38.6424559348496,6.099812301718641,86.34666155532685,52.97317546212118,8.361953699054002,118.36868911361356,0
2017-05-01,18.5,12.1,25.2,60,30.0,0.4,0.0,284.4,638.23,21096,3593,47080,3.7,51732586,37702112,63.28,0,40.77893960298061,6.945332290173933,91.00646930737234,55.9544250465332,9.529970098226858,124.87364103103825,3
2017-06-01,21.6,16.3,27.7,66,59.7,1.7,0.1,254.9,612.34,21226,3768,47212,3.9,51736224,37689992,68.01604,0,41.0273467193895,7.283098202141695,91.25521027587942,56.31733750434333,9.997348898349461,125.26402234311962,1
2017-07-01,26.2,23.0,30.4,83,313.5,5.9,5.8,148.4,430.31,22061,3814,47842,3.6,51744948,37682141,76.60884,0,42.634113768942235,7.370767867038923,92.45733515859365,58.54497492592047,10.121505569442034,126.9620003810293,0
2017-08-01,25.2,21.6,29.7,80,239.5,5.6,4.2,188.2,453.86,22148,3848,47656,3.7,51753820,37671385,74.6784,0,42.79490866567917,7.435199952389988,92.08209171806061,58.79263531192177,10.21464966047837,126.50450733361674,1
2017-09-01,20.3,15.4,26.1,75,99.3,0.0,0.0,217.5,447.66,21787,3485,45777,3.5,51762492,37662588,66.57325,0,42.09032285385333,6.7326743078752855,88.43662318267057,57.847856870589986,9.253214356910364,121.54501968903466,0
2017-10-01,15.1,10.5,20.8,74,65.5,0.0,0.0,180.7,324.74,20412,2793,45226,3.3,51769092,37652917,58.500659999999996,0,39.428931842188774,5.395111044250109,87.36100683396185,54.21093935431351,7.417751989839194,120.1128719987352,7
2017-11-01,6.5,0.9,12.7,61,13.1,0.0,0.0,206.9,264.36,17212,2118,42179,3.3,51774649,37647636,46.34645,0,33.244068926474036,4.0908051351540795,81.46651076282525,45.71867407557808,5.625851248668044,112.03625109422542,0
2017-12-01,-0.5,-5.4,4.7,58,22.0,0.0,0.0,202.5,235.87,17154,2029,42520,3.4,51778544,37636473,36.9137,0,33.12955265795036,3.9186115391734457,82.11895645424097,45.57812842877174,5.391047136643224,112.97551712669781,1
2018-01-01,-2.4,-6.8,2.7,58,21.3,0.0,0.0,197.8,256.07,17383,2444,48329,3.6,51779148,37625332,34.28372,0,33.571429178402084,4.720046764771023,93.33680036604697,46.200256784445116,6.495623746256911,128.44803601998782,1
2018-02-01,-0.5,-6.1,5.5,50,31.9,0.0,0.0,205.9,316.08,16976,2312,40209,4.0,51779892,37614587,38.152499999999996,0,32.78492740000307,4.4650537316686565,77.65369614907655,45.13142733695308,6.14655160244083,106.89735872947375,3
2018-03-01,7.9,2.1,14.1,67,112.3,0.0,0.0,207.8,425.79,19523,3058,49093,4.6,51784669,37601873,47.89577,0,37.700347181904355,5.905222644176793,94.80218942791737,51.92028599213662,8.132573608766776,130.55998566879902,1
2018-04-01,13.1,7.0,19.5,63,137.1,0.0,0.0,228.1,533.87,19833,3123,47864,4.3,51790131,37599111,55.637769999999996,0,38.294940787077756,6.030106392277711,92.41915221260977,52.74858759293537,8.30604744883463,127.30088219373059,0
2018-05-01,17.7,12.4,23.3,71,134.1,0.0,0.0,210.7,566.61,20161,3319,50296,4.2,51796179,37588408,62.43543,0,38.9237206088117,6.407808575995538,97.10368789944911,53.63621678257829,8.829849883506638,133.80720992493218,3
2018-06-01,22.1,17.3,27.7,71,137.5,1.5,0.0,220.7,610.3,20504,3436,49457,3.9,51801449,37583955,69.09219,0,39.58190435947072,6.633019087940957,95.47416328064492,54.55519516240374,9.142199111296296,131.59072801146127,2
2018-07-01,26.6,22.6,31.5,77,178.9,15.4,7.1,249.2,599.9,20611,3551,52202,3.9,51806977,37578000,76.58088000000001,0,39.784216708880734,6.854289143332953,100.76248996346573,54.84858161690351,9.449678003086913,138.9163872478578,0
2018-08-01,27.1,23.1,32.1,76,304.3,14.1,9.4,222.0,548.84,21067,3401,51417,4.3,51812153,37569428,77.24864,0,40.660344687857304,6.564097037233716,99.23733530239518,56.07484894366771,9.052573278464607,136.85861812961326,1
2018-09-01,20.2,15.9,25.1,77,143.7,0.0,0.0,171.9,427.27,21356,3238,48998,3.8,51817851,37566208,66.51816,0,41.21359644960962,6.248811823554782,94.55814753876999,56.84896383473147,8.61944862787322,130.43105122561212,4
2018-10-01,12.7,7.5,19.0,72,157.8,0.0,0.0,228.0,412.87,18874,2733,47189,3.6,51821881,37561555,54.846759999999996,0,36.42090876631823,5.273834039331764,91.05999066301743,50.2481859443785,7.276056595633487,125.63111404732844,2
2018-11-01,7.7,2.6,14.2,70,49.8,0.0,0.0,181.5,282.75,17706,2300,46537,3.4,51824477,37557682,47.3801,0,34.16532307696998,4.438057329551054,89.79733649796408,47.143484520690066,6.123913611068968,123.90807292100722,0
2018-12-01,0.8,-3.9,6.1,59,28.4,0.0,0.0,186.7,261.61,19398,2357,45346,3.5,51826059,37547041,38.57118,0,37.42904703597084,4.54790513783809,87.49652370827579,51.66319231387635,6.277458721713916,120.77116809284651,1
2019-01-01,-0.1,-5.4,6.0,54,8.0,0.0,0.0,218.2,308.35,17176,2359,51988,4.0,51826287,37534696,38.07093999999999,0,33.14148281546776,4.551744175692154,100.31202891304946,45.76032799093404,6.284851754227609,138.50651674386813,1
2019-02-01,2.1,-2.9,7.9,57,32.2,0.0,0.0,190.0,339.53,15618,2103,43354,4.3,51829538,37521601,40.641729999999995,0,30.133396134073198,4.057531826735557,83.64728236628311,41.62402345251739,5.604771502154186,115.54411017802785,3
2019-03-01,7.2,1.3,13.6,59,39.4,0.0,0.0,225.2,475.63,18927,2854,54274,4.4,51833175,37506236,47.49342,0,36.51522408187421,5.506126144115231,104.70900152267346,50.463608238374015,7.609401273964149,144.7066029233112,1
2019-04-01,11.7,5.9,17.9,62,78.9,0.0,0.0,205.6,512.36,19339,2983,52721,4.6,51836763,37497445,53.66466,0,37.30749931279467,5.75460315683678,101.70581060395304,51.57418058750403,7.955208681551504,140.59891280592583,0
2019-05-01,18.4,11.5,25.4,57,56.7,0.5,0.0,299.3,725.8,21076,3493,56606,4.2,51840339,37480471,63.04281999999999,0,40.655598336268596,6.737996061329768,109.19295878832891,56.23195076710749,9.319520024174723,151.02798468034192,3
2019-06-01,21.2,16.5,26.7,73,150.0,0.5,0.0,232.2,618.87,21888,3443,54094,4.2,51842636,37464327,67.85054,0,42.22007538351252,6.641251806717544,104.34268813028721,58.42357718050026,9.190075668515277,144.38802010242972,1
2019-07-01,24.7,21.3,28.9,79,226.5,3.0,4.4,171.9,504.2,21810,3674,55297,4.1,51845612,37448220,73.78277,0,42.06720522461959,7.0864242088607226,106.65704939503848,58.24041836968487,9.810880196708949,147.66255912831105,0
2019-08-01,26.0,22.1,30.8,78,136.9,9.0,5.3,226.2,557.02,21430,3547,55687,3.2,51847538,37430268,75.745,0,41.3327244198172,6.841212016663163,107.40529280290995,57.253130006977244,9.476288013754003,148.77531734477563,1
2019-09-01,21.5,17.8,26.3,81,223.0,0.0,0.5,147.9,390.66,20992,3188,52544,3.3,51849253,37413399,68.81395,0,40.486600645914805,6.148593886203144,101.33993637285383,56.10824079362583,8.521011416257581,140.44166369380125,3
2019-10-01,15.5,10.7,21.3,75,160.5,0.0,0.0,205.6,391.65,19773,2833,54046,3.2,51850705,37396022,59.12125,0,38.134486310263284,5.463763703887922,104.23387685856923,52.87460789278603,7.575672086191413,144.52339342403855,2
2019-11-01,8.4,3.1,14.9,69,57.4,0.0,0.0,186.9,294.58,17087,2346,49827,3.2,51851427,37379122,48.49894,0,32.95377000906841,4.524465642960993,96.09571593854109,45.71268420911545,6.276230886322049,133.30168643340525,0
2019-12-01,2.5,-2.1,7.8,66,26.5,0.0,0.0,175.4,247.3,17200,2243,46992,3.2,51849861,37356074,40.0651,0,33.172702237330974,4.325951809205429,90.63090834515448,46.04338239612653,6.004378297355338,125.79480381155685,1
2020-01-01,2.5,-1.5,7.4,68,83.7,0.0,0.0,157.1,254.55,17082,2424,54264,3.5,51847509,37321391,39.8148,0,32.94661658672936,4.675248718313545,104.66076586244482,45.76999822970157,6.49493476810658,145.39651000682156,5
2020-02-01,3.4,-1.6,8.9,67,58.7,0.0,0.0,193.8,345.07,15977,2279,51314,4.0,51844627,37284000,41.265919999999994,0,30.817079656103996,4.395826784519059,98.97650531847785,42.85216178521618,6.112541572792619,137.63008260916212,0
2020-03-01,7.7,1.6,14.0,60,29.2,0.0,0.0,247.9,529.72,17806,2458,59656,4.2,51843195,37226949,48.1168,1,34.34587702397586,4.741220135063049,115.07006850175803,47.830940966986034,6.6027436199512355,160.24950097307195,1
2020-04-01,10.6,4.3,17.1,55,41.0,0.0,0.0,277.0,642.36,17936,2572,56671,4.3,51842524,37203568,52.413199999999996,1,34.59708096002424,4.961178201894645,109.31373634508999,48.210429709322504,6.9133154110379955,152.32678758123416,2
2020-05-01,17.6,12.6,23.1,72,103.5,0.0,0.0,222.0,613.61,19308,3020,58842,4.7,51841371,37178881,62.30848,1,37.24438537707654,5.825463219327283,113.50394263299866,51.932708787012714,8.122891057425855,158.26727006657356,1
2020-06-01,22.7,18.2,28.0,75,182.9,1.9,0.0,222.8,610.81,18428,3178,56683,4.5,51839408,37160445,70.29925,1,35.54824545835863,6.1304712430358,109.34345546538648,49.59036416275425,8.55210426032304,152.5358482655415,1
2020-07-01,22.5,19.6,26.2,86,427.7,0.1,0.2,116.3,429.16,18583,3336,55737,4.2,51839852,37141313,70.7901,1,35.84693876055047,6.435203557294106,107.51766806741654,50.03323388163472,8.981911867251435,150.06739260941046,0
2020-08-01,26.4,23.5,30.5,85,420.8,5.7,7.1,161.3,454.86,18408,3164,53235,3.3,51839953,37119214,77.15809999999999,1,35.509291453254214,6.103400595289892,102.69106532561864,49.59156732144167,8.523887386193037,143.41629108849125,2
2020-09-01,20.1,16.3,24.9,80,219.1,0.0,0.1,172.3,427.78,17047,2800,52029,3.8,51841786,37097003,66.5082,1,32.882740575334346,5.401048490111818,100.36112567572421,45.95249918167244,7.5477795335650155,140.2512219113765,1
2020-10-01,13.7,8.3,20.0,69,10.5,0.0,0.0,228.9,430.97,17537,2696,54397,3.9,51838016,37073441,56.412369999999996,1,33.83038424927374,5.200816327538462,104.93650065619795,47.303405151952305,7.272052248940152,146.72768033590407,4
2020-11-01,8.5,3.4,14.2,65,40.8,0.0,0.0,185.0,292.99,15873,2422,53063,3.7,51834302,37053483,48.911249999999995,1,30.62257884749755,4.67258148860575,102.3704341576742,42.838078136945995,6.536497527101568,143.20651043789866,0
2020-12-01,0.4,-4.4,5.9,60,7.8,0.0,0.0,202.7,279.13,16256,2463,53167,3.8,51829023,37025287,37.867599999999996,1,31.36466608679851,4.752163667063529,102.58152078228447,43.90512894606327,6.652210420408085,143.59645611930029,1
2021-01-01,-1.1,-6.3,4.5,63,19.9,0.0,0.0,191.2,286.82,13328,2386,49205,4.7,51825932,36994370,35.27923,1,25.716855415161664,4.603872825673449,94.94281742969909,36.02710358359934,6.449630038300422,133.00672507735638,1
2021-02-01,3.4,-2.2,9.4,58,20.1,0.0,0.0,198.6,355.45,13621,2279,42409,4.7,51824142,36968583,42.312079999999995,1,26.283117239065913,4.397564362956555,81.8325173622749,36.8447987308575,6.164693951077324,114.71632548101722,3
2021-03-01,8.7,3.1,14.8,67,110.7,0.0,0.0,215.5,474.67,16115,2976,52426,4.5,51705905,36874019,49.07440999999999,1,31.16665301574356,5.755628878365053,101.39267458910157,43.702857559410596,8.070723183171328,142.17598575300403,1
2021-04-01,13.2,7.3,19.3,59,76.3,0.0,0.0,235.5,580.82,15709,3049,48788,4.2,51702100,36854422,55.858019999999996,1,30.38367880608331,5.897245953259152,94.36367188179977,42.62446444011522,8.27309135386793,132.3803151762901,0
2021-05-01,16.6,11.4,22.2,71,143.8,0.0,0.0,212.5,572.51,16482,3512,47698,4.2,51683025,36825146,60.77124,1,31.890548202238552,6.795267885345334,92.28948963416904,44.757460024734186,9.536961509942147,129.5256236051311,2
2021-06-01,21.7,17.5,26.7,77,91.6,0.1,0.0,208.6,587.74,16881,3869,49578,4.0,51672400,36805491,68.87661,1,32.66927798979726,7.487556219567893,95.94677235816413,45.86543893681516,10.512018437683661,134.70272682953748,1
2021-07-01,26.0,22.2,30.8,80,233.8,8.1,3.8,228.0,613.43,16136,3588,49201,3.4,51671569,36786742,75.96000000000001,1,31.228004707966196,6.943857268975131,95.21870721595468,43.86362891282952,9.753513915420942,133.74655466907072,0
2021-08-01,24.8,21.5,29.2,82,288.4,3.5,1.6,157.1,449.3,15096,3148,46464,2.8,51669716,36762588,74.22883999999999,1,29.21634018658047,6.0925436478110315,89.92501526426041,41.06348551957223,8.563053286672853,126.38936083607608,2
2021-09-01,21.3,17.7,25.8,80,145.8,0.0,0.0,158.6,415.15,15720,2993,46917,2.8,51667688,36739748,68.4306,1,30.425205014011855,5.792788715454038,90.80530175842202,42.787446446284825,8.14649028077166,127.70093033844434,3
2021-10-01,15.1,10.4,21.2,76,53.9,0.0,0.0,201.4,389.5,14969,2708,47937,2.9,51662290,36713708,58.49984,1,28.974712503065582,5.2417343482064,92.78915046158426,40.77223689854482,7.375991550621909,130.56975884865673,4
2021-11-01,8.3,3.3,14.5,70,58.0,0.0,0.0,191.7,291.62,14283,2536,48208,2.7,51652704,36691823,48.2819,1,27.651988945244764,4.909713923205259,93.33102871052017,38.926929305202414,6.911621698382224,131.38622193833214,0
2021-12-01,1.9,-3.1,7.4,64,7.2,0.0,0.0,195.5,269.83,12120,2082,46501,2.8,51638809,36663230,39.449239999999996,1,23.470719473797313,4.03185131554835,90.050488964608,33.057643857346996,5.678714068564062,126.83279678304393,1
2022-01-01,-0.8,-6.0,5.0,57,2.6,0.0,0.0,216.3,320.4,13558,3133,47842,3.1,51632473,36629271,36.656259999999996,1,26.258668648313634,6.067886773503953,92.65874210596111,37.01411365789944,8.553268777858014,130.61139000009038,2
2022-02-01,-0.1,-5.4,5.7,52,3.5,0.0,0.0,225.1,392.43,11597,2590,42948,3.2,51625561,36597121,38.372719999999994,1,22.463678409228326,5.016894634810845,83.19134778990585,31.688284988319165,7.077059422242531,117.3534934619584,2
2022-03-01,7.7,2.0,13.7,65,89.4,0.0,0.0,190.3,438.18,14984,3439,53155,3.1,51610695,36562021,47.74845,1,29.032742147727326,6.663347587161924,102.99221895771797,40.98241724657398,9.405935191602236,145.38310122408166,2
2022-04-01,13.8,7.5,20.4,60,59.4,0.0,0.0,253.1,615.44,16781,3723,55177,3.2,51592660,36540481,56.6812,1,32.525944582039386,7.2161427613928035,106.94738360069049,45.92440915049804,10.188700033806342,151.00239101942856,0
2022-05-01,18.0,11.5,24.6,57,5.8,0.2,0.0,304.4,754.45,18282,4493,57979,3.2,51583722,36519085,62.4931,1,35.44141308764032,8.710112077604636,112.397860704972,50.06149524282988,12.30315600733151,158.76356157335266,2
2022-06-01,22.4,18.3,27.2,76,184.7,1.6,1.2,178.9,542.02,17455,4222,55413,3.2,51578178,36502751,69.90536,1,33.841831326418706,8.185632303645933,107.43496988203033,47.81831374846241,11.566251540877015,151.80499683434817,2
2022-07-01,25.9,22.5,30.3,81,178.4,5.8,3.8,182.0,558.33,17184,4404,56926,3.0,51574446,36485354,75.90630999999999,0,33.31882614890328,8.539112567491273,110.37636739714083,47.0983507519209,12.070596875666878,156.02425016898562,0
2022-08-01,25.3,22.1,29.1,83,311.5,2.9,7.9,143.8,444.36,16578,4152,56187,2.3,51558441,36437176,75.14031,0,32.153803874713745,8.052997568332215,108.97730596625293,45.497488608886705,11.394955525642272,154.20240031774142,1
2022-09-01,21.0,16.6,26.3,77,150.8,0.2,0.3,180.9,468.07,17632,4068,53640,2.6,51466658,36357107,67.776,0,34.25907312652786,7.904146408729318,104.22281547793524,48.496707947637304,11.189009070496176,147.53649128353365,4
2022-10-01,14.0,8.9,20.1,73,77.6,0.0,0.0,211.8,420.14,16747,3608,54632,2.6,51459626,36332087,56.815099999999994,0,32.54395980258388,7.011321846761964,106.16478246460632,46.09424170981425,9.930615876814343,150.3684608043573,3
2022-11-01,9.6,3.9,16.5,68,61.6,0.0,0.0,195.2,307.62,15834,3316,51481,2.5,51450829,36310584,50.34551999999999,0,30.775014334560087,6.444988476278973,100.05864045455905,43.607120171903595,9.132323512064692,141.77959792659902,0
2022-12-01,-1.4,-6.0,3.8,62,15.2,0.0,0.0,189.4,267.73,14238,2779,49484,2.4,51439038,36281154,35.012879999999996,0,27.679366787535958,5.402511609956624,96.19931072583434,39.24351469085024,7.659624057162018,136.39036950147727,1
2023-01-01,-0.6,-5.8,5.1,63,40.5,0.0,0.0,198.8,305.34,14495,3217,50307,2.9,51430018,36252766,35.99608,0,28.18392947091716,6.255101835663367,97.81641530827386,39.983156043872626,8.873805656649758,138.76734260773372,5
2023-02-01,2.5,-2.8,8.5,60,15.2,0.0,0.0,183.6,352.2,12926,2852,50646,3.1,51421479,36222740,40.815999999999995,0,25.137355539695776,5.546320439363481,98.49191618934181,35.68476597849859,7.8735070842238875,139.81824676984678,0
2023-03-01,9.4,2.7,16.5,55,28.7,0.0,0.0,236.4,517.56,16057,3535,59654,3.0,51414281,36188422,50.7878,0,31.230622480162662,6.8755216084807245,116.02612900489652,44.37054481126588,9.768317612743656,164.84277761544837,1
